# Schottky from phonopy; factor=1.968750000000
# X_S = X_2G + X_cVac - factor * X_nodef
# T[K]  dF_vib[eV]  dU_vib[eV]  E_DFT[eV]  F_Schottky[eV]  U_Schottky[eV]  dS[eV/K]  dS[J/K/mol]  dCv[eV/K]  dCv[J/K/mol]
   1150.0000     -0.54006171      0.00137360      5.04300774      4.50294602      5.04438134  4.70813319e-04     45.42658147  3.66276026e-07      0.03534027
   1160.0000     -0.54476986      0.00137705      5.04300774      4.49823787      5.04438479  4.70816307e-04     45.42686984  3.24183296e-07      0.03127893
   1170.0000     -0.54947804      0.00138010      5.04300774      4.49352970      5.04438783  4.70818917e-04     45.42712164  2.84232633e-07      0.02742428
   1180.0000     -0.55418624      0.00138275      5.04300774      4.48882150      5.04439048  4.70821172e-04     45.42733919  2.46314922e-07      0.02376578
   1190.0000     -0.55889446      0.00138503      5.04300774      4.48411327      5.04439276  4.70823100e-04     45.42752520  2.10324414e-07      0.02029322
   1200.0000     -0.56360270      0.00138696      5.04300774      4.47940504      5.04439469  4.70824714e-04     45.42768098  1.76165143e-07      0.01699735
   1210.0000     -0.56831095      0.00138856      5.04300774      4.47469678      5.04439629  4.70826041e-04     45.42780902  1.43741175e-07      0.01386892
   1220.0000     -0.57301922      0.00138984      5.04300774      4.46998852      5.04439757  4.70827098e-04     45.42791092  1.12967069e-07      0.01089967
   1230.0000     -0.57772749      0.00139082      5.04300774      4.46528024      5.04439856  4.70827898e-04     45.42798817  8.37579670e-08      0.00808142
   1240.0000     -0.58243578      0.00139152      5.04300774      4.46057196      5.04439926  4.70828466e-04     45.42804292  5.60351339e-08      0.00540657
   1250.0000     -0.58714406      0.00139195      5.04300774      4.45586367      5.04439968  4.70828808e-04     45.42807594  2.97239791e-08      0.00286793
   1260.0000     -0.59185235      0.00139212      5.04300774      4.45115538      5.04439986  4.70828945e-04     45.42808913  4.75551536e-09      0.00045884
   1270.0000     -0.59656064      0.00139205      5.04300774      4.44644709      5.04439978  4.70828888e-04     45.42808368  -1.89385319e-08     -0.00182729
   1280.0000     -0.60126893      0.00139174      5.04300774      4.44173881      5.04439948  4.70828650e-04     45.42806073  -4.14184051e-08     -0.00399627
   1290.0000     -0.60597722      0.00139122      5.04300774      4.43703052      5.04439896  4.70828244e-04     45.42802158  -6.27482654e-08     -0.00605429
   1300.0000     -0.61068549      0.00139049      5.04300774      4.43232224      5.04439823  4.70827681e-04     45.42796724  -8.29816832e-08     -0.00800652
   1310.0000     -0.61539377      0.00138957      5.04300774      4.42761397      5.04439730  4.70826970e-04     45.42789859  -1.02172747e-07     -0.00985817
   1320.0000     -0.62010203      0.00138845      5.04300774      4.42290570      5.04439619  4.70826124e-04     45.42781699  -1.20372695e-07     -0.01161420
   1330.0000     -0.62481029      0.00138716      5.04300774      4.41819745      5.04439490  4.70825151e-04     45.42772310  -1.37628782e-07     -0.01327916
   1340.0000     -0.62951854      0.00138570      5.04300774      4.41348920      5.04439344  4.70824057e-04     45.42761753  -1.53985089e-07     -0.01485730
   1350.0000     -0.63422677      0.00138408      5.04300774      4.40878097      5.04439182  4.70822855e-04     45.42750160  -1.69489550e-07     -0.01635326
   1360.0000     -0.63893499      0.00138232      5.04300774      4.40407274      5.04439005  4.70821550e-04     45.42737562  -1.84180448e-07     -0.01777071
   1370.0000     -0.64364320      0.00138040      5.04300774      4.39936454      5.04438814  4.70820148e-04     45.42724038  -1.98094447e-07     -0.01911321
   1380.0000     -0.64835139      0.00137836      5.04300774      4.39465634      5.04438609  4.70818659e-04     45.42709677  -2.11271676e-07     -0.02038462
   1390.0000     -0.65305957      0.00137618      5.04300774      4.38994816      5.04438392  4.70817090e-04     45.42694531  -2.23746143e-07     -0.02158822
   1400.0000     -0.65776774      0.00137388      5.04300774      4.38524000      5.04438162  4.70815442e-04     45.42678633  -2.35551045e-07     -0.02272722
   1410.0000     -0.66247588      0.00137147      5.04300774      4.38053185      5.04437921  4.70813726e-04     45.42662076  -2.46719323e-07     -0.02380480
   1420.0000     -0.66718401      0.00136895      5.04300774      4.37582373      5.04437669  4.70811944e-04     45.42644885  -2.57278699e-07     -0.02482362
   1430.0000     -0.67189212      0.00136633      5.04300774      4.37111561      5.04437406  4.70810103e-04     45.42627118  -2.67260624e-07     -0.02578673
   1440.0000     -0.67660021      0.00136361      5.04300774      4.36640752      5.04437134  4.70808209e-04     45.42608849  -2.76690976e-07     -0.02669662
   1450.0000     -0.68130829      0.00136080      5.04300774      4.36169945      5.04436853  4.70806263e-04     45.42590069  -2.85594110e-07     -0.02755564
   1460.0000     -0.68601634      0.00135790      5.04300774      4.35699140      5.04436563  4.70804272e-04     45.42570857  -2.93994771e-07     -0.02836618
   1470.0000     -0.69072437      0.00135492      5.04300774      4.35228337      5.04436265  4.70802236e-04     45.42551218  -3.01917931e-07     -0.02913065
   1480.0000     -0.69543238      0.00135186      5.04300774      4.34757535      5.04435960  4.70800163e-04     45.42531216  -3.09387816e-07     -0.02985139
   1490.0000     -0.70014037      0.00134873      5.04300774      4.34286736      5.04435647  4.70798057e-04     45.42510896  -3.16419519e-07     -0.03052984
   1500.0000     -0.70484834      0.00134553      5.04300774      4.33815939      5.04435327  4.70795918e-04     45.42490258  -3.23039404e-07     -0.03116857
   1510.0000     -0.70955629      0.00134227      5.04300774      4.33345144      5.04435001  4.70793751e-04     45.42469347  -3.29260525e-07     -0.03176881
   1520.0000     -0.71426422      0.00133895      5.04300774      4.32874352      5.04434669  4.70791557e-04     45.42448180  -3.35108045e-07     -0.03233301
   1530.0000     -0.71897212      0.00133557      5.04300774      4.32403561      5.04434331  4.70789341e-04     45.42426798  -3.40592655e-07     -0.03286220
   1540.0000     -0.72368000      0.00133214      5.04300774      4.31932773      5.04433988  4.70787107e-04     45.42405242  -3.45734984e-07     -0.03335836
   1550.0000     -0.72838787      0.00132866      5.04300774      4.31461987      5.04433639  4.70784852e-04     45.42383481  -3.50551227e-07     -0.03382305
   1560.0000     -0.73309570      0.00132513      5.04300774      4.30991203      5.04433286  4.70782583e-04     45.42361595  -3.55054146e-07     -0.03425752
   1570.0000     -0.73780352      0.00132156      5.04300774      4.30520422      5.04432929  4.70780302e-04     45.42339584  -3.59260096e-07     -0.03466333
   1580.0000     -0.74251131      0.00131794      5.04300774      4.30049643      5.04432568  4.70778007e-04     45.42317443  -3.63179863e-07     -0.03504153
   1590.0000     -0.74721908      0.00131429      5.04300774      4.29578866      5.04432203  4.70775706e-04     45.42295237  -3.66827697e-07     -0.03539349
   1600.0000     -0.75192682      0.00131061      5.04300774      4.29108091      5.04431834  4.70773394e-04     45.42272930  -3.70218270e-07     -0.03572063
   1610.0000     -0.75663454      0.00130689      5.04300774      4.28637319      5.04431463  4.70771077e-04     45.42250576  -3.73359454e-07     -0.03602371
   1620.0000     -0.76134225      0.00130314      5.04300774      4.28166549      5.04431088  4.70768758e-04     45.42228198  -3.76266599e-07     -0.03630421
   1630.0000     -0.76604992      0.00129936      5.04300774      4.27695782      5.04430710  4.70766433e-04     45.42205766  -3.78946054e-07     -0.03656274
   1640.0000     -0.77075757      0.00129556      5.04300774      4.27225016      5.04430330  4.70764106e-04     45.42183319  -3.81413624e-07     -0.03680082
   1650.0000     -0.77546520      0.00129174      5.04300774      4.26754253      5.04429947  4.70761781e-04     45.42160880  -3.83673974e-07     -0.03701891
   1660.0000     -0.78017281      0.00128789      5.04300774      4.26283493      5.04429563  4.70759457e-04     45.42138457  -3.85740156e-07     -0.03721827
   1670.0000     -0.78488039      0.00128402      5.04300774      4.25812734      5.04429176  4.70757135e-04     45.42116055  -3.87619101e-07     -0.03739956
   1680.0000     -0.78958795      0.00128014      5.04300774      4.25341979      5.04428787  4.70754816e-04     45.42093682  -3.89318841e-07     -0.03756356
   1690.0000     -0.79429549      0.00127624      5.04300774      4.24871225      5.04428397  4.70752500e-04     45.42071337  -3.90849449e-07     -0.03771124
   1700.0000     -0.79900300      0.00127232      5.04300774      4.24400474      5.04428006  4.70750190e-04     45.42049051  -3.92218958e-07     -0.03784338
   1710.0000     -0.80371049      0.00126839      5.04300774      4.23929724      5.04427613  4.70747886e-04     45.42026818  -3.93432225e-07     -0.03796044
   1720.0000     -0.80841796      0.00126445      5.04300774      4.23458978      5.04427219  4.70745589e-04     45.42004658  -3.94498126e-07     -0.03806328
   1730.0000     -0.81312540      0.00126051      5.04300774      4.22988233      5.04426824  4.70743299e-04     45.41982563  -3.95422359e-07     -0.03815246
   1740.0000     -0.81783282      0.00125655      5.04300774      4.22517491      5.04426428  4.70741017e-04     45.41960543  -3.96213542e-07     -0.03822880
   1750.0000     -0.82254022      0.00125258      5.04300774      4.22046751      5.04426032  4.70738746e-04     45.41938630  -3.96874944e-07     -0.03829261
   1760.0000     -0.82724760      0.00124861      5.04300774      4.21576013      5.04425635  4.70736483e-04     45.41916798  -3.97415829e-07     -0.03834480
   1770.0000     -0.83195495      0.00124463      5.04300774      4.21105278      5.04425237  4.70734230e-04     45.41895053  -3.97838011e-07     -0.03838553
   1780.0000     -0.83666229      0.00124065      5.04300774      4.20634545      5.04424839  4.70731988e-04     45.41873421  -3.98150267e-07     -0.03841566
